# This is a continuation of trace file C:\Users\1\AppData\Local\1C\1cedtstart\projects\ЗаявкаДеск\.metadata\trace.log.bak_0
# version: 1.1
# verbose: true
# Time of creation: 2026-06-28 20:59:17.258
| Worker-21: Запуск ЗаявкаДеск Веб-клиент | 2026-06-28 20:59:19.889 | com._1c.g5.v8.dt.platform.services.core | /trace/platform | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 228 | Reusing alive cached designer agent connection for infobase ЗаявкаДеск from the pool |
| Worker-21: Запуск ЗаявкаДеск Веб-клиент | 2026-06-28 20:59:19.893 | com._1c.g5.v8.dt.platform.services.core | /trace/platform | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 228 | Starting thin client: [C:\Program Files (x86)\1cv8\8.5.1.1150\bin\1cv8c.exe, ENTERPRISE, /EnableCheckModal, /EnableCheckExtensionsAndAddInsSyncCalls, /F, D:\Диск C\Документы\InfoBase110, /DisableStartupMessages, /DisplayPerformance, /TechnicalSpecialistMode, /AppAutoCheckVersion-, /WA, -, /N, Admin] |
| Worker-22: Запуск ЗаявкаДеск Веб-клиент | 2026-06-28 21:01:29.785 | com._1c.g5.v8.dt.platform.services.core | /trace/platform | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 212 | Reevaluating supported platform installations |
| Worker-22: Запуск ЗаявкаДеск Веб-клиент | 2026-06-28 21:01:29.791 | com._1c.g5.v8.dt.platform.services.core | /trace/platform | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 212 | Reevaluating registered platform installations |
| Worker-22: Запуск ЗаявкаДеск Веб-клиент | 2026-06-28 21:01:29.793 | com._1c.g5.v8.dt.platform.services.core | /trace/platform | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 228 | Loaded list of platform installations from store: 4 total |
| Worker-22: Запуск ЗаявкаДеск Веб-клиент | 2026-06-28 21:01:29.795 | com._1c.g5.v8.dt.platform.services.core | /trace/platform | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 228 | Using previously stored enterprise platform installation to launch client: installation=FixedRuntimeResolvable [installation=com._1c.g5.v8.dt.platform.services.model.impl.RuntimeInstallationImpl@191cb33d (uuid: a3b70e27-1cfe-44a6-9fbd-a2453d156e3a, name: 1С:Предприятие 8.5.1.1150, typeId: com._1c.g5.v8.dt.platform.services.core.runtimeType.EnterprisePlatform, version: 8.5.1, build: 1150, location: file:///C:/Program%20Files%20(x86)/1cv8/8.5.1.1150/bin/, training: false, arch: x86)], project=P/ЗаявкаДеск, infobase=com._1c.g5.v8.dt.platform.services.model.impl.InfobaseReferenceImpl@490ad82a (name: ЗаявкаДеск, uuid: a89c7344-87ba-4bf9-a6f1-6179cae0157d, external: false, orderInList: 33792.0, orderInTree: 0.0) (useProxy: NotUse, proxyServer: null, proxyPort: null, proxyUser: null, proxyPassword: null, clientConnectionSpeed: SelectAtStartup, authentication: PermitOsAuthentication, webserverAuthentication: PermitOsAuthentication, clientType: Auto, appArch: Auto, defaultClientType: Auto, version: 8.3.27, defaultVersion: null, webCommonInfoBaseUrl: null, additionalParameters: null, developmentServer: null, httpsCaCertificate: None, httpsClientCertificate: None, httpsClientCertificateFile: null, httpsClientCertificateSelectType: Recent, httpsClientNssPath: null, httpsClientNssCertificateName: null, httpsCaCertificateFile: null, showInList: false, updateUrl: null, mobilePublicKey: null) |
| Worker-22: Запуск ЗаявкаДеск Веб-клиент | 2026-06-28 21:01:29.802 | com._1c.g5.v8.dt.platform.services.core | /trace/platform | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 228 | Opening designer session: DesignerSessionInfobaseConnection [v8project=Configuration:ЗаявкаДеск, infobase=com._1c.g5.v8.dt.platform.services.model.impl.InfobaseReferenceImpl@490ad82a (name: ЗаявкаДеск, uuid: a89c7344-87ba-4bf9-a6f1-6179cae0157d, external: false, orderInList: 33792.0, orderInTree: 0.0) (useProxy: NotUse, proxyServer: null, proxyPort: null, proxyUser: null, proxyPassword: null, clientConnectionSpeed: SelectAtStartup, authentication: PermitOsAuthentication, webserverAuthentication: PermitOsAuthentication, clientType: Auto, appArch: Auto, defaultClientType: Auto, version: 8.3.27, defaultVersion: null, webCommonInfoBaseUrl: null, additionalParameters: null, developmentServer: null, httpsCaCertificate: None, httpsClientCertificate: None, httpsClientCertificateFile: null, httpsClientCertificateSelectType: Recent, httpsClientNssPath: null, httpsClientNssCertificateName: null, httpsCaCertificateFile: null, showInList: false, updateUrl: null, mobilePublicKey: null), ][baseDirectory=C:\Users\1\AppData\Local\Temp\1cedt\ssh-5310\0, requiresSynchronization=false] |
| Worker-22: Запуск ЗаявкаДеск Веб-клиент | 2026-06-28 21:01:29.804 | com._1c.g5.v8.dt.platform.services.core | /trace/platform | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 228 | Replacing cached dead designer agent connection with new one for infobase ЗаявкаДеск: DesignerAgentConnection[client=DesignerClient[sshSession=[host=localhost, port=24753, connected=false]], client.connected=false, server=Process[pid=22164, exitValue=1], server.alive=false, server.pid=22164, agentBaseDirectory=C:\Users\1\AppData\Local\Temp\1cedt\ssh-5310, type=DESIGNER_AGENT, connectionDirectory=C:\Users\1\AppData\Local\Temp\1cedt\ssh-5310\0, hostname=localhost, port=24753, fileTransfer=DelegatingDesignerFileTransfer[enabled=true, bypassFileNames=[ConfigDumpInfo.xml, load.lst, changes.txt], delegate=LocalDesignerFileTransfer[baseDirectory=C:\Users\1\AppData\Local\Temp\1cedt\ssh-5310\0]], fileTransferClient=null, session=ShellDesignerSession[channel=ChannelFacade[channel=[connected=false, closed=true, EOF=true], session=[host=localhost, port=24753, connected=false]]], transferingSession=com._1c.g5.designer.ssh.client.integration.TransferingDesignerSession@1252ec63, isConnected=true, isOpen=true, isLaunchedByIde=true, resolveUserDirectory=true, connectionTimeout=PT1M] |
| Worker-22: Запуск ЗаявкаДеск Веб-клиент | 2026-06-28 21:01:29.805 | com._1c.g5.v8.dt.platform.services.core | /trace/platform | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 228 | Releasing designer agent connection gracefully=true, clean=false : DesignerAgentConnection[client=DesignerClient[sshSession=[host=localhost, port=24753, connected=false]], client.connected=false, server=Process[pid=22164, exitValue=1], server.alive=false, server.pid=22164, agentBaseDirectory=C:\Users\1\AppData\Local\Temp\1cedt\ssh-5310, type=DESIGNER_AGENT, connectionDirectory=C:\Users\1\AppData\Local\Temp\1cedt\ssh-5310\0, hostname=localhost, port=24753, fileTransfer=DelegatingDesignerFileTransfer[enabled=true, bypassFileNames=[ConfigDumpInfo.xml, load.lst, changes.txt], delegate=LocalDesignerFileTransfer[baseDirectory=C:\Users\1\AppData\Local\Temp\1cedt\ssh-5310\0]], fileTransferClient=null, session=ShellDesignerSession[channel=ChannelFacade[channel=[connected=false, closed=true, EOF=true], session=[host=localhost, port=24753, connected=false]]], transferingSession=com._1c.g5.designer.ssh.client.integration.TransferingDesignerSession@1252ec63, isConnected=true, isOpen=true, isLaunchedByIde=true, resolveUserDirectory=true, connectionTimeout=PT1M] |
| Worker-22: Запуск ЗаявкаДеск Веб-клиент | 2026-06-28 21:01:29.807 | com._1c.g5.v8.dt.platform.services.core | /trace/platform | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 228 | Closing file transfer: DelegatingDesignerFileTransfer[enabled=true, bypassFileNames=[ConfigDumpInfo.xml, load.lst, changes.txt], delegate=LocalDesignerFileTransfer[baseDirectory=C:\Users\1\AppData\Local\Temp\1cedt\ssh-5310\0]] |
| Worker-22: Запуск ЗаявкаДеск Веб-клиент | 2026-06-28 21:01:29.807 | com._1c.g5.v8.dt.platform.services.core | /trace/platform | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 228 | Closing designer session: ShellDesignerSession[channel=ChannelFacade[channel=[connected=false, closed=true, EOF=true], session=[host=localhost, port=24753, connected=false]]] |
| Worker-22: Запуск ЗаявкаДеск Веб-клиент | 2026-06-28 21:01:29.809 | com._1c.g5.v8.dt.platform.services.core | /trace/platform | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 228 | Disconnecting designer client: DesignerClient[sshSession=[host=localhost, port=24753, connected=false]] |
| Worker-22: Запуск ЗаявкаДеск Веб-клиент | 2026-06-28 21:01:29.810 | com._1c.g5.v8.dt.platform.services.core | /trace/platform | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 228 | Skipped termination of designer agent process because it is already stopped: Process[pid=22164, exitValue=1] |
| Worker-22: Запуск ЗаявкаДеск Веб-клиент | 2026-06-28 21:01:29.812 | com._1c.g5.v8.dt.platform.services.core | /trace/platform | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 228 | Creating designer agent connection: infobase=ЗаявкаДеск, agent directory=null, connection directory=null |
| Worker-22: Запуск ЗаявкаДеск Веб-клиент | 2026-06-28 21:01:29.818 | com._1c.g5.v8.dt.platform.services.core | /trace/platform | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 228 | Starting designer agent for infobase ЗаявкаДеск: C:\Program Files (x86)\1cv8\8.5.1.1150\bin\1cv8.exe DESIGNER /F D:\Диск C\Документы\InfoBase110 /AgentMode /AgentSSHHostKeyAuto /AgentBaseDir C:\Users\1\AppData\Local\Temp\1cedt\ssh-88142 /AppAutoCheckVersion- /AgentPort 15005 /Out C:\Users\1\AppData\Local\Temp\1cedt\1cv8-11879323663798245827.log -NoTruncate |
| Worker-22: Запуск ЗаявкаДеск Веб-клиент | 2026-06-28 21:01:29.941 | com._1c.g5.v8.dt.platform.services.core | /trace/platform | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 228 | Designer agent process identifier is 12 056 |
| Worker-22: Запуск ЗаявкаДеск Веб-клиент | 2026-06-28 21:01:30.950 | com._1c.g5.v8.dt.platform.services.core | /trace/platform | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 228 | Creating and connecting designer client to host localhost and port 15005 |
| Worker-22: Запуск ЗаявкаДеск Веб-клиент | 2026-06-28 21:01:31.217 | com._1c.g5.v8.dt.platform.services.core | /trace/platform | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 228 | New designer agent connection: DesignerAgentConnection[client=DesignerClient[sshSession=[host=localhost, port=15005, connected=true]], client.connected=true, server=Process[pid=12056, exitValue="not exited"], server.alive=true, server.pid=12056, agentBaseDirectory=C:\Users\1\AppData\Local\Temp\1cedt\ssh-88142, type=DESIGNER_AGENT, connectionDirectory=C:\Users\1\AppData\Local\Temp\1cedt\ssh-88142\Admin, hostname=localhost, port=15005, fileTransfer=null, fileTransferClient=null, session=ShellDesignerSession[channel=ChannelFacade[channel=[connected=true, closed=false, EOF=false], session=[host=localhost, port=15005, connected=true]]], transferingSession=null, isConnected=true, isOpen=false, isLaunchedByIde=true, resolveUserDirectory=true, connectionTimeout=null] |
| Worker-22: Запуск ЗаявкаДеск Веб-клиент | 2026-06-28 21:01:31.218 | com._1c.g5.v8.dt.platform.services.core | /trace/platform | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 228 | Openning 1C:Enterprise designer agent connection with localhost:15005: DesignerAgentConnection[client=DesignerClient[sshSession=[host=localhost, port=15005, connected=true]], client.connected=true, server=Process[pid=12056, exitValue="not exited"], server.alive=true, server.pid=12056, agentBaseDirectory=C:\Users\1\AppData\Local\Temp\1cedt\ssh-88142, type=DESIGNER_AGENT, connectionDirectory=C:\Users\1\AppData\Local\Temp\1cedt\ssh-88142\Admin, hostname=localhost, port=15005, fileTransfer=null, fileTransferClient=null, session=ShellDesignerSession[channel=ChannelFacade[channel=[connected=true, closed=false, EOF=false], session=[host=localhost, port=15005, connected=true]]], transferingSession=null, isConnected=true, isOpen=false, isLaunchedByIde=true, resolveUserDirectory=true, connectionTimeout=PT1M] |
| Worker-22: Запуск ЗаявкаДеск Веб-клиент | 2026-06-28 21:01:31.301 | com._1c.g5.v8.dt.platform.services.core | /trace/platform | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 228 | Trying to get connection directory for agent base directory "C:\Users\1\AppData\Local\Temp\1cedt\ssh-88142" and username "Admin".. |
| Worker-22: Запуск ЗаявкаДеск Веб-клиент | 2026-06-28 21:01:32.310 | com._1c.g5.v8.dt.platform.services.core | /trace/platform | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 228 | Replacing old connection DesignerAgentConnection[client=DesignerClient[sshSession=null], client.connected=false, server=Process[pid=22164, exitValue=1], server.alive=false, server.pid=22164, agentBaseDirectory=C:\Users\1\AppData\Local\Temp\1cedt\ssh-5310, type=DESIGNER_AGENT, connectionDirectory=C:\Users\1\AppData\Local\Temp\1cedt\ssh-5310\0, hostname=localhost, port=24753, fileTransfer=DelegatingDesignerFileTransfer[enabled=true, bypassFileNames=[ConfigDumpInfo.xml, load.lst, changes.txt], delegate=LocalDesignerFileTransfer[baseDirectory=C:\Users\1\AppData\Local\Temp\1cedt\ssh-5310\0]], fileTransferClient=null, session=ShellDesignerSession[channel=ChannelFacade[channel=[connected=false, closed=true, EOF=true], session=[host=localhost, port=24753, connected=false]]], transferingSession=com._1c.g5.designer.ssh.client.integration.TransferingDesignerSession@1252ec63, isConnected=false, isOpen=true, isLaunchedByIde=true, resolveUserDirectory=true, connectionTimeout=PT1M] with this connection DesignerAgentConnection[client=DesignerClient[sshSession=[host=localhost, port=15005, connected=true]], client.connected=true, server=Process[pid=12056, exitValue="not exited"], server.alive=true, server.pid=12056, agentBaseDirectory=C:\Users\1\AppData\Local\Temp\1cedt\ssh-88142, type=DESIGNER_AGENT, connectionDirectory=C:\Users\1\AppData\Local\Temp\1cedt\ssh-88142\0, hostname=localhost, port=15005, fileTransfer=DelegatingDesignerFileTransfer[enabled=true, bypassFileNames=[ConfigDumpInfo.xml, load.lst, changes.txt], delegate=LocalDesignerFileTransfer[baseDirectory=C:\Users\1\AppData\Local\Temp\1cedt\ssh-88142\0]], fileTransferClient=null, session=ShellDesignerSession[channel=ChannelFacade[channel=[connected=true, closed=false, EOF=false], session=[host=localhost, port=15005, connected=true]]], transferingSession=com._1c.g5.designer.ssh.client.integration.TransferingDesignerSession@36179ec6, isConnected=true, isOpen=true, isLaunchedByIde=true, resolveUserDirectory=true, connectionTimeout=PT1M] |
